Price,quartier,region,nombre_chambres,nombre_sdb,superficie,type
1500000,Mermoz,Dakar,3,5,,Appartement
260000,Ngor,Dakar,2,2,,Appartement
900000,Mermoz,Dakar,3,4,170,Appartement
569800,Almadies,Dakar,3,4,150,Appartement
414400,Yoff,Dakar,2,2,95,Appartement
362600,Almadies,Dakar,2,2,90,Appartement
1300000,Almadies,Dakar,3,4,288,Appartement
900000,Almadies,Dakar,3,4,150,Appartement
1300000,Almadies,Dakar,3,2,149,Appartement
275000,Ouakam,Dakar,2,2,,Appartement
500000,Yoff,Dakar,4,5,,Appartement
450000,Liberte 5,Dakar,3,4,,Appartement
1,Diamniadio,Dakar,3,107 m²,,Appartement
1000000,Almadies,Dakar,1,,,Appartement
350000,Nord foire,Dakar,4,3,,Appartement
1300000,Plateau,Dakar,3,,,Appartement
700000,Ouest foire,Dakar,3,,,Appartement
2500000,Fenêtre mermoz,Dakar,3,3,,Appartement
450000,Almadies,Dakar,3,3,168,Appartement
550000,Point-e,Dakar,2,2,180,Appartement
550000,Cité keur gorgui,Dakar,3,2,,Appartement
210000,Grand-Dakar,Dakar,,,,Appartement
300000,Plateau,Dakar,1,,,Appartement
1350000,Almadies,Dakar,,,,Appartement
350000,Cambérène,Dakar,,,,Appartement
750000,Dakar,Dakar,3,3,,Appartement
1700000,Fann,Dakar,3,200 m²,,Appartement
1,Sacré-cœur,Dakar,4,170 m²,,Appartement
360000,Ouakam,Dakar,2,150 m²,,Appartement
1300000,Almadies,Dakar,3,2,,Appartement
1300000,Almadies,Dakar,3,3,,Appartement
1800000,Almadies,Dakar,3,3,200,Appartement
300000,Liberte 6,Dakar,2,2,,Appartement
200000,Zac Mbao,Dakar,2,150 m²,,Appartement
2200000,Almadies,Dakar,4,5,,Appartement
1150000,Almadies,Dakar,3,250 m²,,Appartement
518000,Almadies,Dakar,3,3,150,Appartement
300000,Liberte 6,Dakar,,,,Appartement
600000,Liberte 6 extension,Dakar,3,3,,Appartement
250000,Hann maristes,Dakar,3,,,Appartement
1250000,Almadies,Dakar,4,5,,Appartement
10000000,Diamniadio,Dakar,5,"2,200 m²",,Appartement
900000,Almadies,Dakar,3,2,,Appartement
800000,Almadies,Dakar,3,3,,Appartement
900000,Mermoz,Dakar,2,2,,Appartement
130000,Tivaouane peulh,Dakar,2,3,,Appartement
349000,Almadies,Dakar,2,,,Appartement
650000,Yoff,Dakar,,,,Appartement
350000,Liberte 3,Dakar,3,3,,Appartement
1000000,Amitié,Dakar,3,3,,Appartement
450000,Almadies,Dakar,2,3,,Appartement
225000,Hann maristes,Dakar,3,2,100,Appartement
400000,Point-e,Dakar,2,2,12,Appartement
230000,Mamelles,Dakar,2,,,Appartement
250000,Hann maristes,Dakar,2,150 m²,,Appartement
1000000,Mermoz,Dakar,3,3,178,Appartement
350000,Cité keur gorgui,Dakar,2,2,,Appartement
120000,Hann maristes,Dakar,,,,Appartement
1350000,Point-e,Dakar,3,3,250,Appartement
300000,Almadies,Dakar,1,1,,Appartement
300000,Almadies,Dakar,2,140 m²,,Appartement
1100000,Almadies,Dakar,3,4,,Appartement
375000,Mamelles,Dakar,2,3,,Appartement
400000,Mamelles,Dakar,2,,,Appartement
500000,Sacré-cœur,Dakar,3,4,,Appartement
650000,Sacré-cœur,Dakar,3,3,,Appartement
250000,Hann maristes,Dakar,,,,Appartement
2000000,Almadies,Dakar,4,255 m²,,Appartement
670000,Almadies,Dakar,2,3,,Appartement
1250000,Plateau,Dakar,3,2,120,Appartement
,Point-e,Dakar,2,2,,Appartement
600000,Cité keur gorgui,Dakar,3,3,,Appartement
400000,VDN,Dakar,3,3,150,Appartement
850000,Yoff,Dakar,3,4,,Appartement
250000,Sicap foire,Dakar,2,2,,Appartement
65000000,Mermoz,Dakar,1,2,,Appartement
1500000,Almadies,Dakar,5,,,Appartement
15,Mamelles,Dakar,4,5,,Appartement
1200000,Amitié,Dakar,3,400 m²,,Appartement
5500000,Fann,Dakar,4,6,514,Appartement
500000,Almadies,Dakar,2,3,110,Appartement
1400000,Almadies,Dakar,4,4,350,Appartement
850000,Point-e,Dakar,3,4,150,Appartement
1200000,Almadies,Dakar,4,2,250,Appartement
300000,Hann maristes,Dakar,2,2,,Appartement
300000,Hann maristes,Dakar,2,2,,Appartement
275000,Sud foire,Dakar,2,2,100,Appartement
1500000,Almadies,Dakar,3,4,160,Appartement
1300000,Almadies,Dakar,3,4,250,Appartement
1200000,Virage,Dakar,3,3,,Appartement
450000,Mamelles,Dakar,4,3,,Appartement
3000000,Fann,Dakar,4,5,400,Appartement
500000,Diamniadio,Dakar,,,,Appartement
1500000,Ngor,Dakar,3,4,,Appartement
800000,Mamelles,Dakar,3,3,170,Appartement
800000,Mermoz,Dakar,3,3,12,Appartement
1250000,Fann,Dakar,,,,Appartement
360000,Mermoz,Dakar,,,,Appartement
1300000,Almadies,Dakar,,,,Appartement
35000,Ouest foire,Dakar,2,3,80,Appartement
2000000,Almadies,Dakar,,,,Appartement
230000,Amitié,Dakar,1,,,Appartement
850000,Virage,Dakar,3,3,,Appartement
250000,Guediawaye,Dakar,3,3,,Appartement
1200000,Mermoz,Dakar,3,2,,Appartement
1300000,Sacré-cœur,Dakar,3,3,,Appartement
1700000,Dakar,Dakar,3,3,200,Appartement
1900000,Plateau,Dakar,2,3,190,Appartement
1500000,Mermoz,Dakar,3,,,Appartement
1700000,Almadies,Dakar,3,5,220,Appartement
2800000,Almadies,Dakar,4,6,440,Appartement
1700000,Almadies,Dakar,4,5,,Appartement
130000000,Hlm,Dakar,284 m²,,,Appartement
275000,VDN,Dakar,1,1,100,Appartement
800000,Almadies,Dakar,2,3,152,Appartement
500000,Zone de captage,Dakar,3,4,,Appartement
1400000,Almadies,Dakar,2,3,204,Appartement
250000,Mamelles,Dakar,150 m²,,,Appartement
1200000,Virage,Dakar,3,4,150,Appartement
800000,Mamelles,Dakar,3,4,150,Appartement
5500000,Fann,Dakar,4,6,514,Appartement
850000,Point-e,Dakar,3,153 m²,,Appartement
350000,Ouakam,Dakar,2,120 m²,,Appartement
700000,Ngor,Dakar,2,2,120,Appartement
300000,Ngor,Dakar,2,2,100,Appartement
1100000,Virage,Dakar,3,5,195,Appartement
1200000,Virage,Dakar,4,,,Appartement
120000,Golf,Dakar,1,1,,Appartement
2000000,Point-e,Dakar,4,5,300,Appartement
500000,Almadies,Dakar,2,2,100,Appartement
750000,Virage,Dakar,3,2,150,Appartement
200000,Almadies 2,Dakar,3,3,170,Appartement
