price,type,superficie,nombre_chambres,nombre_sdb,category,area,city
450000,Appartements,150,3,2,Location,Almadies,Dakar
650000,Appartements,165,3,3,Location,Ngor,Dakar
1400000,Appartements,230,3,3,Location,Point-e,Dakar
800000,Appartements,170,3,3,Location,Mermoz,Dakar
250000,Appartements,170,2,2,Location,Sicap foire,Dakar
2100000,Villas,280,4,4,Location,Mermoz,Dakar
1500000,Villas,170,5,3,Location,Almadies,Dakar
650000,Appartements,170,3,4,Location,VDN,Dakar
500000,Appartements,125,2,3,Location,Almadies,Dakar
285000,Appartements,170,2,2,Location,Mamelles,Dakar
230000,Appartements,170,2,3,Location,Mamelles,Dakar
1,Villas,170,4,3,Location,Sacré-cœur,Dakar
130000000,Appartements,284,3,3,Location,Hlm,Dakar
1200000,Appartements,200,3,3,Location,Point-e,Dakar
1000000,Appartements,200,3,3,Location,Fann,Dakar
1300000,Appartements,170,3,3,Location,Almadies,Dakar
350000,Villas,170,4,3,Location,Nord foire,Dakar
1200000,Villas,170,4,3,Location,Virage,Dakar
350000,Appartements,150,2,2,Location,Mamelles,Dakar
300000,Appartements,130,2,2,Location,Ouest foire,Dakar
200000,Appartements,150,2,3,Location,Zac Mbao,Dakar
700000,Appartements,150,3,4,Location,Point-e,Dakar
400000,Appartements,130,3,3,Location,Mamelles,Dakar
1300000,Appartements,170,3,3,Location,Mermoz,Dakar
900000,Appartements,200,3,3,Location,Mermoz,Dakar
800000,Appartements,170,3,4,Location,Hann maristes,Dakar
300000,Appartements,140,2,3,Location,Almadies,Dakar
1250000,Villas,170,4,5,Location,Almadies,Dakar
331000,Appartements,170,2,2,Location,Sicap baobab,Dakar
650000,Appartements,190,3,4,Location,VDN,Dakar
1000000,Appartements,103,2,2,Location,Ngor,Dakar
270000,Appartements,170,1,2,Location,Ouest foire,Dakar
1300000,Appartements,250,3,4,Location,Almadies,Dakar
300000,Appartements,160,2,2,Location,Almadies,Dakar
,Villas,400,5,6,Location,Mamelles,Dakar
450000,Appartements,170,2,3,Location,Sicap Liberté,Dakar
1200000,Appartements,170,3,5,Location,Almadies,Dakar
800000,Appartements,12,3,3,Location,Mermoz,Dakar
1800000,Villas,170,4,3,Location,Point-e,Dakar
2200000,Appartements,230,2,3,Location,Plateau,Dakar
850000,Appartements,150,3,4,Location,Almadies,Dakar
700000,Appartements,150,3,4,Location,Mamelles,Dakar
950000,Appartements,200,3,3,Location,Fann,Dakar
550000,Appartements,170,3,2,Location,Almadies,Dakar
450000,Appartements,170,2,3,Location,Almadies,Dakar
850000,Villas,200,4,3,Location,Ngor,Dakar
1300000,Villas,300,4,3,Location,Ngor,Dakar
350000,Appartements,170,3,3,Location,Sacré-cœur,Dakar
500000,Appartements,170,3,3,Location,Diamniadio,Dakar
,Appartements,264,3,3,Location,Ngor,Dakar
225000,Appartements,100,3,2,Location,Hann maristes,Dakar
1200000,Appartements,187,3,4,Location,Ngor,Dakar
250000,Appartements,170,3,3,Location,Sacré-cœur,Dakar
500000,Appartements,185,3,3,Location,Mamelles,Dakar
600000,Appartements,170,3,3,Location,Liberte 6 extension,Dakar
1250000,Villas,340,4,5,Location,Ngor,Dakar
1000000,Appartements,140,3,4,Location,Almadies,Dakar
550000,Villas,170,4,4,Location,VDN,Dakar
175000,Appartements,175,3,2,Location,Mbao,Dakar
150000,Appartements,170,3,3,Location,Diamniadio,Dakar
300000,Appartements,170,2,3,Location,HLM Grand Médine,Dakar
2000000,Appartements,170,3,4,Location,Fann,Dakar
300000,Appartements,170,2,2,Location,Ngaparou,Thiès
